Id,Label,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《周报(上海1945)》,《周报(上海1945)》,journal,"#00EB00",18,5779,0.97562,2,0.95,0.973684,2.083417
《国讯》,《国讯》,journal,"#00EB00",19,4404,1,1,1,1,3.926274
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,"#00EB00",17,2124,0.932632,2,0.904762,0.947368,1.628716
《民主(重庆)》,《民主(重庆)》,journal,"#00EB00",17,1127,0.941845,2,0.904762,0.947368,1.193337
《民主(上海)》,《民主(上海)》,journal,"#00EB00",17,6260,0.934871,2,0.904762,0.947368,1.483417
《再生》,《再生》,journal,"#00EB00",18,1975,0.966225,2,0.95,0.973684,2.836194
《中华论坛》,《中华论坛》,journal,"#00EB00",16,1030,0.901096,2,0.863636,0.921053,0.718337
《中建》,《中建》,journal,"#00EB00",10,100,0.582004,2,0.678571,0.763158,0.076923
《民主:桂林版》,《民主:桂林版》,journal,"#00EB00",11,130,0.646181,2,0.703704,0.789474,0
《光明报》,《光明报》,journal,"#00EB00",16,2058,0.882487,2,0.863636,0.921053,1.67316
《观察》,《观察》,journal,"#00EB00",18,4695,0.96257,2,0.95,0.973684,3.017002
《民主周刊(北平)》,《民主周刊(北平)》,journal,"#00EB00",15,612,0.861426,2,0.826087,0.894737,0.25
《时与文》,《时与文》,journal,"#00EB00",19,4103,1,1,1,1,3.926274
《主流》,《主流》,journal,"#00EB00",7,36,0.417958,2,0.612903,0.684211,0
《现代文摘(上海)》,《现代文摘(上海)》,journal,"#00EB00",19,1852,1,1,1,1,3.926274
《展望》,《展望》,journal,"#00EB00",19,3252,1,1,1,1,3.926274
《新路周刊》,《新路周刊》,journal,"#00EB00",12,737,0.704272,2,0.730769,0.815789,0
《中建:北平版》,《中建:北平版》,journal,"#00EB00",17,1876,0.93819,2,0.904762,0.947368,1.340812
《中建:华北航空版》,《中建:华北航空版》,journal,"#00EB00",16,666,0.904414,2,0.863636,0.921053,0.59359
《中建:综合版》,《中建:综合版》,journal,"#00EB00",13,418,0.742715,2,0.76,0.842105,0.4
