Id,Label,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《中央周刊》,《中央周刊》,journal(n),journal,"#0000FF",3522,0,25,8824,0,656537,1,1,1,1,0
《时代杂志》,《时代杂志》,journal(c),journal,"#FF0000",2558,0,25,8526,0,640873,1,1,1,1,0
《国讯》,《国讯》,journal,journal,"#00EB00",2508,0,25,5592,0,416083,1,1,1,1,0
《民主(上海)》,《民主(上海)》,journal,journal,"#00EB00",1165,0,25,2143,0,213113,1,1,1,1,0
《周报(上海1945)》,《周报(上海1945)》,journal,journal,"#00EB00",1468,0,25,2380,0,168824,1,1,1,1,0
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,journal,"#00EB00",814,0,25,1423,0,163244,1,1,1,1,0
《文萃》,《文萃》,journal(c),journal,"#FF0000",1761,0,25,3241,0,286427,1,1,1,1,0
《民主(重庆)》,《民主(重庆)》,journal,journal,"#00EB00",577,0,25,899,0,90486,1,1,1,1,0
《再生》,《再生》,journal,journal,"#00EB00",1893,0,25,4596,0,439767,1,1,1,1,0
《中华论坛》,《中华论坛》,journal,journal,"#00EB00",389,0,25,590,0,70916,1,1,1,1,0
《观察》,《观察》,journal,journal,"#00EB00",2326,0,25,4479,0,340511,1,1,1,1,0
《正报》,《正报》,journal(c),journal,"#FF0000",2172,0,25,4179,0,209902,1,1,1,1,0
《中建》,《中建》,journal,journal,"#00EB00",1297,0,25,3405,0,154632,1,1,1,1,0
《民主:桂林版》,《民主:桂林版》,journal,journal,"#00EB00",522,0,25,723,0,65977,1,1,1,1,0
《民主周刊(北平)》,《民主周刊(北平)》,journal,journal,"#00EB00",270,0,25,347,0,28790,1,1,1,1,0
《解放》,《解放》,journal(c),journal,"#FF0000",92,0,25,108,0,7060,1,1,1,1,0
《光明报》,《光明报》,journal,journal,"#00EB00",993,0,25,1704,0,146695,1,1,1,1,0
《群众》,《群众》,journal(c),journal,"#FF0000",2698,0,25,6339,0,356962,1,1,1,1,0
《时与文》,《时与文》,journal,journal,"#00EB00",2022,0,25,3559,0,273651,1,1,1,1,0
《主流》,《主流》,journal,journal,"#00EB00",329,0,25,612,0,63735,1,1,1,1,0
《现代文摘(上海)》,《现代文摘(上海)》,journal,journal,"#00EB00",370,0,25,567,0,67049,1,1,1,1,0
《展望》,《展望》,journal,journal,"#00EB00",1834,0,25,3302,0,221532,1,1,1,1,0
《新路周刊》,《新路周刊》,journal,journal,"#00EB00",778,0,25,1258,0,101709,1,1,1,1,0
《中建:北平版》,《中建:北平版》,journal,journal,"#00EB00",486,0,25,689,0,49245,1,1,1,1,0
《中建:华北航空版》,《中建:华北航空版》,journal,journal,"#00EB00",278,0,25,334,0,18193,1,1,1,1,0
《中建:综合版》,《中建:综合版》,journal,journal,"#00EB00",150,0,25,314,0,38993,1,1,1,1,0
