Id,Label,type,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《中央周刊》,《中央周刊》,journal,14,56702,1,1,1,1,0
《时代杂志》,《时代杂志》,journal,14,41021,1,1,1,1,0
《国讯》,《国讯》,journal,14,32180,1,1,1,1,0
《再生》,《再生》,journal,14,41130,1,1,1,1,0
《观察》,《观察》,journal,14,35482,1,1,1,1,0
《正报》,《正报》,journal,14,19821,1,1,1,1,0
《中建》,《中建》,journal,14,11055,1,1,1,1,0
《光明报》,《光明报》,journal,14,15437,1,1,1,1,0
《群众》,《群众》,journal,14,44573,1,1,1,1,0
《时与文》,《时与文》,journal,14,38358,1,1,1,1,0
《主流》,《主流》,journal,14,7421,1,1,1,1,0
《展望》,《展望》,journal,14,49049,1,1,1,1,0
《新路周刊》,《新路周刊》,journal,14,30007,1,1,1,1,0
《中建:北平版》,《中建:北平版》,journal,14,15331,1,1,1,1,0
《中建:华北航空版》,《中建:华北航空版》,journal,14,6243,1,1,1,1,0
