Id,Label,type,type2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
《周报(上海1945)》,《周报(上海1945)》,journal,journal,375,0,24,834,0,7510,0.979828,2,0.961538,0.98,3.220811,"#00EB00"
《国讯》,《国讯》,journal,journal,410,0,24,1483,0,5666,0.976653,2,0.961538,0.98,3.552882,"#00EB00"
《中央周刊》,《中央周刊》,journal(n),journal,959,0,22,2311,0,572,0.917201,2,0.892857,0.94,1.838503,"#0000FF"
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,journal,204,0,23,393,0,2616,0.947175,2,0.925926,0.96,2.69697,"#00EB00"
《时代杂志》,《时代杂志》,journal(c),journal,1124,0,24,2805,0,4144,0.974588,2,0.961538,0.98,3.821355,"#FF0000"
《民主(重庆)》,《民主(重庆)》,journal,journal,142,0,23,245,0,1613,0.954416,2,0.925926,0.96,2.2158,"#00EB00"
《民主(上海)》,《民主(上海)》,journal,journal,262,0,23,722,0,8366,0.945434,2,0.925926,0.96,2.808348,"#00EB00"
《再生》,《再生》,journal,journal,321,0,23,1227,0,2340,0.951241,2,0.925926,0.96,2.54787,"#00EB00"
《文萃》,《文萃》,journal(c),journal,545,0,25,1008,0,8167,1,1,1,1,4.993034,"#FF0000"
《中华论坛》,《中华论坛》,journal,journal,111,0,21,179,0,1395,0.87905,2,0.862069,0.92,1.753336,"#00EB00"
《中建》,《中建》,journal,journal,216,0,13,667,0,147,0.566355,2,0.675676,0.76,0.181046,"#00EB00"
《正报》,《正报》,journal(c),journal,619,0,21,1118,0,2966,0.872756,2,0.862069,0.92,2.045289,"#FF0000"
《民主:桂林版》,《民主:桂林版》,journal,journal,123,0,16,222,0,203,0.707619,2,0.735294,0.82,0.05,"#00EB00"
《光明报》,《光明报》,journal,journal,231,0,21,447,0,3374,0.884194,2,0.862069,0.92,1.676681,"#00EB00"
《观察》,《观察》,journal,journal,759,0,23,1333,0,5324,0.945012,2,0.925926,0.96,2.920068,"#00EB00"
《民主周刊(北平)》,《民主周刊(北平)》,journal,journal,70,0,21,85,0,671,0.890122,2,0.862069,0.92,1.247178,"#00EB00"
《解放》,《解放》,journal(c),journal,24,0,12,26,0,56,0.519593,2,0.657895,0.74,0.114379,"#FF0000"
《群众》,《群众》,journal(c),journal,719,0,22,1667,0,6384,0.900169,2,0.892857,0.94,3.030786,"#FF0000"
《时与文》,《时与文》,journal,journal,533,0,24,1053,0,5488,0.976653,2,0.961538,0.98,3.552882,"#00EB00"
《主流》,《主流》,journal,journal,87,0,10,155,0,44,0.448144,2,0.625,0.7,0,"#00EB00"
《现代文摘(上海)》,《现代文摘(上海)》,journal,journal,130,0,25,190,0,2618,1,1,1,1,4.993034,"#00EB00"
《展望》,《展望》,journal,journal,372,0,24,967,0,3586,0.976653,2,0.961538,0.98,3.552882,"#00EB00"
《新路周刊》,《新路周刊》,journal,journal,142,0,18,280,0,782,0.769097,2,0.78125,0.86,0.933066,"#00EB00"
《中建:北平版》,《中建:北平版》,journal,journal,122,0,20,181,0,2008,0.845575,2,0.833333,0.9,1.133466,"#00EB00"
《中建:华北航空版》,《中建:华北航空版》,journal,journal,72,0,19,89,0,690,0.820163,2,0.806452,0.88,0.478455,"#00EB00"
《中建:综合版》,《中建:综合版》,journal,journal,39,0,17,56,0,424,0.729856,2,0.757576,0.84,0.64188,"#00EB00"
