Id,Label,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality
《国讯》,《国讯》,journal,195,0,11,3086,1
《民主(上海)》,《民主(上海)》,journal,923,0,11,21184,1
《周报(上海1945)》,《周报(上海1945)》,journal,973,0,11,15046,1
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,345,0,11,7732,1
《民主(重庆)》,《民主(重庆)》,journal,242,0,11,5750,1
《再生》,《再生》,journal,663,0,11,14726,1
《中华论坛》,《中华论坛》,journal,294,0,11,6061,1
《观察》,《观察》,journal,334,0,11,6332,1
《中建》,《中建》,journal,414,0,11,5072,1
《民主:桂林版》,《民主:桂林版》,journal,486,0,11,8746,1
《民主周刊(北平)》,《民主周刊(北平)》,journal,270,0,11,4639,1
《光明报》,《光明报》,journal,291,0,11,5734,1
